instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,262144,92151,78543,39193,25932,26325,3263,75280,1519,37674,7,25925,87138,39,0.099288
1,RedBlackBST,262144,92151,78543,39193,25932,26325,3263,75280,1519,37674,7,25925,87138,22,0.085834
2,BST,262144,91583,79031,39521,26051,25958,3423,75608,1546,37975,7,26044,86681,40,0.090941
2,RedBlackBST,262144,91583,79031,39521,26051,25958,3423,75608,1546,37975,7,26044,86681,22,0.094687
3,BST,262144,91930,78687,39141,26355,26031,3332,75355,1555,37586,9,26346,86934,39,0.115331
3,RedBlackBST,262144,91930,78687,39141,26355,26031,3332,75355,1555,37586,9,26346,86934,22,0.093088
4,BST,262144,91806,78579,38859,26413,26487,3305,75274,1483,37376,10,26403,86826,46,0.103546
4,RedBlackBST,262144,91806,78579,38859,26413,26487,3305,75274,1483,37376,10,26403,86826,22,0.098145
5,BST,262144,91650,78879,39253,26352,26010,3340,75539,1531,37722,11,26341,86820,39,0.108279
5,RedBlackBST,262144,91650,78879,39253,26352,26010,3340,75539,1531,37722,11,26341,86820,22,0.094380
6,BST,262144,92014,78355,39359,26410,26006,3322,75033,1540,37819,3,26407,87027,38,0.097433
6,RedBlackBST,262144,92014,78355,39359,26410,26006,3322,75033,1540,37819,3,26407,87027,23,0.092988
7,BST,262144,91403,78729,39261,26286,26465,3310,75419,1494,37767,3,26283,86407,40,0.100410
7,RedBlackBST,262144,91403,78729,39261,26286,26465,3310,75419,1494,37767,3,26283,86407,22,0.114929
8,BST,262144,91621,78388,39419,26390,26326,3282,75106,1495,37924,6,26384,86642,37,0.143083
8,RedBlackBST,262144,91621,78388,39419,26390,26326,3282,75106,1495,37924,6,26384,86642,21,0.093854
9,BST,262144,91740,78509,39237,26292,26366,3338,75171,1522,37715,6,26286,86703,40,0.097311
9,RedBlackBST,262144,91740,78509,39237,26292,26366,3338,75171,1522,37715,6,26286,86703,22,0.091547
10,BST,262144,91715,78891,39331,26127,26080,3328,75563,1535,37796,2,26125,86874,38,0.107850
10,RedBlackBST,262144,91715,78891,39331,26127,26080,3328,75563,1535,37796,2,26125,86874,22,0.126413
11,BST,262144,91865,78376,39277,26371,26255,3255,75121,1512,37765,4,26367,86838,38,0.129318
11,RedBlackBST,262144,91865,78376,39277,26371,26255,3255,75121,1512,37765,4,26367,86838,22,0.112515
12,BST,262144,91680,78726,39464,26144,26130,3332,75394,1542,37922,9,26135,86836,41,0.115993
12,RedBlackBST,262144,91680,78726,39464,26144,26130,3332,75394,1542,37922,9,26135,86836,21,0.092148
13,BST,262144,91754,78638,39325,26316,26111,3179,75459,1486,37839,6,26310,86737,41,0.100270
